target_id	SRR26331018	SRR26331020	SRR26331021	SRR26331017	SRR26331016
at4g24610.1	1.129	1.13094	1.48231	1.32646	0.542663
at5g25940.1	179.737	158.483	157.26	142.436	125.557
at4g00026.1	10.8244	13.3636	12.6283	18.9874	13.1119
at3g43400.1	0.0	0.0	0.0	0.0	0.0
at2g42860.1	3.03327	1.16957	2.08839	0.677013	0.0
at5g02150.3	2.58752	2.57738	2.42754	1.57391	1.49616
at5g02150.2	2.10457	5.33467	4.48302	1.74229	0.0166229
at5g02150.1	2.58752	2.57738	2.42754	1.57391	1.49616
at4g28700.1	0.0	0.0	0.0	0.0349824	0.0
at3g09780.1	0.109383	0.196118	0.377984	0.410851	0.248109
at2g23348.1	0.15733	0.0	0.159902	0.15551	0.297386
at2g23348.3	0.15733	0.0	0.159902	0.15551	0.297386
at2g23348.4	0.15733	0.0	0.159902	0.15551	0.297386
at2g23348.2	0.15733	0.0	0.159902	0.15551	0.297386
at5g44640.1	0.0	0.0	0.0	0.0	0.0
at1g75500.2	14.3899	15.3846	8.2145	1.42235	0.793333
at1g75500.1	14.3899	15.3846	8.2145	1.42235	0.793333
at4g16960.1	4.09405	4.44598	4.98738	3.87373	3.86948
at3g57120.1	27.6591	20.0297	34.9776	47.8831	44.4318
at5g43980.1	7.12023	3.44855	6.90469	8.58753	10.3719
at5g16290.1	1.84793	3.41842	2.16562	2.90759	1.9247
at5g16290.2	1.84793	3.41842	2.16562	2.90759	1.9247
at2g33030.1	0.0	0.0	0.0	0.0	0.0
at4g27900.2	3.84823	3.31942	3.38697	5.92127	3.67447
at4g27900.1	3.84823	3.31942	3.38697	5.92127	3.67447
at4g19220.1	0.297999	0.419054	0.142527	1.16088	1.39163
at5g49800.1	1.49393	0.0	2.67945	0.807665	0.386129
at5g49800.2	0.0	0.557606	0.0	1.84831	0.672012
at3g17100.2	13.9066	11.5043	10.6844	11.416	14.658
at3g17100.1	13.9066	11.5043	10.6844	11.416	14.658
at4g34120.1	26.3448	29.4657	27.2324	26.5734	28.9775
at2g34186.1	0.0	0.0	11.4328	0.0	0.0
at2g22670.2	0.95778	0.483076	0.547443	0.755231	0.553691
at2g22670.1	8.17311e-06	0.0	0.0	0.224926	2.53081
at2g22670.3	8.17311e-06	0.0	0.0	0.224926	2.53081
at2g22670.4	39.3842	46.685	41.5731	41.621	37.1123
at2g22670.5	0.95778	0.483076	0.547443	0.755231	0.553691
at5g10090.1	0.0	0.0	0.0298467	0.0870811	0.0
at4g28070.1	0.0	0.0	0.0	0.0	0.949113
at4g28070.2	2.62772	3.26229	2.86421	1.43042	0.367565
at4g16410.1	0.38921	0.904595	0.659289	1.4106	3.80105
at3g09740.1	46.266	57.8754	45.607	40.3014	31.0032
at5g24165.1	171.043	210.078	142.166	17.1931	18.4943
at5g24165.2	171.043	210.078	142.166	17.1931	18.4943
at5g40500.2	1.9684	2.17415	0.0	2.08219e-07	0.0
at5g40500.1	1.83869	1.9195	1.91537	1.59665	2.54443
